,rmsd,tm_score,lddt,dockq_scores,identifier,tool,parts,plddt,max_pae,ptm
0,0.8948090672492981,0.10415861010551453,0.04026981212521318,,t119,ESM,,,,
1,0.6676988005638123,0.10409551858901978,0.03683667209546379,,t119,ColabFold,af,71.14272331154685,31.046875,0.35
2,0.5622065663337708,0.10415508598089218,0.03655079850764155,,t119,ColabFold,comb,73.65671023965142,30.75,0.35
3,0.7716037034988403,0.10367462038993835,0.04087103297879269,,t119,ColabFold,fullaf,66.94481481481482,31.15625,0.34
4,0.5488917231559753,0.10416855663061142,0.03733290402806768,,t119,ColabFold,omega,73.81309368191721,30.78125,0.36
5,0.47045886516571045,0.10435053706169128,0.03520352553666236,,t119,ColabFold,truth,77.82967320261437,31.53125,0.36
6,0.6953260898590088,0.10404301434755325,0.040031422509753015,,t119,ColabFold,esm,71.66679738562091,30.546875,0.36
7,0.6984692215919495,0.10403682291507721,0.038775720545251774,,t119,ColabFold,msaaf,69.78769063180827,31.328125,0.35
8,19.0535888671875,0.4656863510608673,0.7661462142652717,0.012,t187,ESM,,,,
9,7.92636775970459,0.6180260181427002,0.7696679940729765,0.089,t187,ColabFold,af,83.20915662650603,30.703125,0.53
10,19.509836196899414,0.4697851538658142,0.7433128116382288,0.016,t187,ColabFold,comb,82.80006024096386,31.09375,0.51
11,19.339069366455078,0.29994940757751465,0.22643612697207335,0.017,t187,ColabFold,fullaf,31.122168674698795,31.203125,0.19
12,19.624282836914062,0.476055771112442,0.7604000742062806,0.016,t187,ColabFold,omega,83.22939759036144,31.046875,0.52
13,20.5711669921875,0.49393850564956665,0.8579596508381927,0.014,t187,ColabFold,truth,84.49415662650603,31.09375,0.51
14,8.280717849731445,0.5861270427703857,0.775067485306677,0.096,t187,ColabFold,esm,82.76361445783132,31.265625,0.51
15,19.201854705810547,0.48209625482559204,0.749609795164383,0.013,t187,ColabFold,msaaf,82.13222891566265,30.734375,0.6
16,,,,,t121,ESM,,,,
17,15.983172416687012,0.6211681962013245,0.727016663835599,0.281,t121,ColabFold,af,87.37603674540682,30.875,0.55
18,26.40031623840332,0.47040513157844543,0.7453144692168656,0.163,t121,ColabFold,comb,89.3452624671916,30.78125,0.53
19,34.566349029541016,0.18537692725658417,0.3419393988131187,0.01,t121,ColabFold,fullaf,31.79224409448819,31.625,0.18
20,26.233016967773438,0.3675307035446167,0.6622633132173498,0.014,t121,ColabFold,omega,83.5961154855643,31.5,0.37
21,3.826967716217041,0.8635860085487366,0.8002156982695233,0.558,t121,ColabFold,truth,87.46910761154855,30.375,0.63
22,26.302581787109375,0.5032922029495239,0.7388126879080607,0.127,t121,ColabFold,esm,90.41646981627296,30.390625,0.55
23,19.984859466552734,0.5559897422790527,0.7443762794813835,0.129,t121,ColabFold,msaaf,88.56161417322835,30.875,0.58
24,,,,,h157,ESM,,,,
25,34.873985290527344,0.5467932224273682,0.6886855612817829,0.005,h157,ColabFold,af,86.79308398950131,31.65625,0.75
26,39.2775993347168,0.29799696803092957,0.4835425351881417,0.004,h157,ColabFold,comb,45.63412073490814,31.703125,0.35
27,40.22642517089844,0.18482844531536102,0.16489943156974202,0.008,h157,ColabFold,fullaf,18.821259842519684,31.515625,0.2
28,38.19816589355469,0.28392332792282104,0.4847666534948077,0.005,h157,ColabFold,omega,46.82232939632546,31.703125,0.38
29,2.8050193786621094,0.9615562558174133,0.8753450900860208,0.799,h157,ColabFold,truth,80.5009842519685,31.6875,0.84
30,38.91320037841797,0.3099589943885803,0.49790877266386,0.005,h157,ColabFold,esm,45.804560367454066,31.703125,0.37
31,14.01173210144043,0.7535833120346069,0.7382530944381169,0.381,h157,ColabFold,msaaf,84.99814960629921,31.65625,0.85
32,11.355545043945312,0.876236617565155,0.8200811674342041,0.307,t109,ESM,,,,
33,11.402400970458984,0.8734954595565796,0.808631622134049,0.227,t109,ColabFold,af,94.62209251101322,30.890625,0.91
34,11.354914665222168,0.8736400008201599,0.8137345438119301,0.237,t109,ColabFold,comb,92.73004405286343,30.671875,0.89
35,24.578481674194336,0.2899341285228729,0.27014970422936196,0.01,t109,ColabFold,fullaf,31.325022026431718,31.25,0.17
36,11.300704956054688,0.8768656253814697,0.8178974369816001,0.236,t109,ColabFold,omega,91.70314977973568,30.859375,0.88
37,0.7950897216796875,0.9661051630973816,0.9368384729538907,0.87,t109,ColabFold,truth,95.53980176211454,31.328125,0.93
38,11.420178413391113,0.8715837597846985,0.8082796280336175,0.232,t109,ColabFold,esm,93.51044052863436,30.765625,0.9
39,11.394123077392578,0.8727867603302002,0.809904474508259,0.241,t109,ColabFold,msaaf,94.9581718061674,31.328125,0.93
40,,,,,t124,ESM,,,,
41,4.721652507781982,0.9106225371360779,0.856884434192092,0.614,t124,ColabFold,af,91.04282552083333,31.609375,0.9
42,3.0700154304504395,0.9108638167381287,0.8006991654299159,0.623,t124,ColabFold,comb,84.04087239583333,30.671875,0.83
43,28.790176391601562,0.22214862704277039,0.2903050565923937,0.008,t124,ColabFold,fullaf,36.466549479166666,31.546875,0.18
44,4.2919840812683105,0.8733729124069214,0.7941679869453557,0.548,t124,ColabFold,omega,86.07647135416667,30.453125,0.83
45,0.6521960496902466,0.9569932818412781,0.9230726190094227,0.919,t124,ColabFold,truth,93.17891927083333,30.984375,0.92
46,5.383331298828125,0.7938719987869263,0.6651796441100348,0.349,t124,ColabFold,esm,77.753203125,30.609375,0.79
47,5.747921943664551,0.8851137161254883,0.8410291555330561,0.555,t124,ColabFold,msaaf,89.34583333333333,31.640625,0.9
48,,,,,t170,ESM,,,,
49,10.287407875061035,0.6204128861427307,0.604380438096994,0.228,h106,ESM,,,,
50,2.983410358428955,0.6882184147834778,0.7009920152001696,0.463,h106,ColabFold,af,69.28610169491526,31.359375,0.64
51,12.357410430908203,0.5370815396308899,0.5038999216593016,0.017,h106,ColabFold,comb,59.97139830508475,30.984375,0.5
52,6.431483745574951,0.576018214225769,0.5866428780272862,0.351,h106,ColabFold,fullaf,56.26224576271186,31.1875,0.57
53,11.90884780883789,0.48178234696388245,0.5083744061262956,0.037,h106,ColabFold,omega,55.6903813559322,31.203125,0.48
54,0.727875292301178,0.7589904069900513,0.7663353748014929,0.833,h106,ColabFold,truth,77.12648305084745,31.453125,0.74
55,12.286104202270508,0.5405042171478271,0.4741630571185686,0.017,h106,ColabFold,esm,62.82368644067797,30.875,0.53
56,4.798569202423096,0.6703317165374756,0.7035414006250387,0.483,h106,ColabFold,msaaf,79.8885593220339,31.71875,0.76
57,2.2230136394500732,0.934445858001709,0.877234664694074,0.662,t110,ESM,,,,
58,1.3208047151565552,0.9539862275123596,0.8983384328960139,0.914,t110,ColabFold,af,94.43156387665198,30.90625,0.91
59,1.3617910146713257,0.9518309831619263,0.8914889356589609,0.873,t110,ColabFold,comb,94.29918502202644,30.671875,0.91
60,22.711238861083984,0.3032342493534088,0.31963452455471464,0.019,t110,ColabFold,fullaf,33.00103524229075,31.5,0.17
61,1.2520557641983032,0.955125093460083,0.9014616035405488,0.905,t110,ColabFold,omega,92.789140969163,30.859375,0.9
62,0.253559410572052,0.9725039005279541,0.9635334147688561,0.976,t110,ColabFold,truth,95.85806167400881,31.359375,0.93
63,1.3790990114212036,0.9513729810714722,0.8851907578313563,0.89,t110,ColabFold,esm,94.37066079295154,30.8125,0.91
64,0.8629188537597656,0.9631867408752441,0.9263802904528384,0.936,t110,ColabFold,msaaf,95.75735682819383,31.296875,0.94
65,21.43988037109375,0.25038766860961914,0.2937652287597487,0.014,t123,ESM,,,,
66,12.742284774780273,0.41658294200897217,0.5401477099496447,0.052,t123,ColabFold,af,63.3815977443609,31.5625,0.42
67,22.6978759765625,0.21280764043331146,0.24911731483846367,0.01,t123,ColabFold,comb,51.71580827067669,31.6875,0.35
68,23.4679012298584,0.2435200810432434,0.25007178875488323,0.009,t123,ColabFold,fullaf,28.0162969924812,31.65625,0.21
69,22.69618034362793,0.20304958522319794,0.25277644710197894,0.009,t123,ColabFold,omega,53.46244360902256,31.65625,0.36
70,0.16940149664878845,0.8041643500328064,0.8986956999930796,0.87,t123,ColabFold,truth,84.99825187969925,31.71875,0.83
71,22.644569396972656,0.2567148506641388,0.2376159314351132,0.012,t123,ColabFold,esm,53.471146616541354,31.65625,0.37
72,5.348684787750244,0.6853320002555847,0.5721762876690637,0.349,t123,ColabFold,msaaf,59.89548872180451,31.6875,0.64
73,,,,,h129,ESM,,,,
74,31.991064071655273,0.49633774161338806,0.7332586161968093,0.002,h129,ColabFold,af,87.82333813987022,31.390625,0.61
75,35.41813278198242,0.21279501914978027,0.18319338814276495,0.006,h129,ColabFold,comb,42.86791636625811,31.71875,0.45
76,40.344181060791016,0.14690569043159485,0.19157102779903085,0.006,h129,ColabFold,fullaf,17.383150684931508,31.53125,0.19
77,35.464412689208984,0.17212507128715515,0.26236440016552215,0.006,h129,ColabFold,omega,46.36294160057678,31.703125,0.45
78,0.6164112091064453,0.906489372253418,0.9468891042562881,0.924,h129,ColabFold,truth,88.07722422494592,31.703125,0.88
79,38.04564666748047,0.18831147253513336,0.18782432569089885,0.003,h129,ColabFold,esm,44.25254506128334,31.71875,0.46
80,19.025537490844727,0.5752654671669006,0.6999345326317324,0.034,h129,ColabFold,msaaf,78.34485219899062,31.703125,0.65
